Recepcion;Orden de compra;Folio;Tipo DTE SII Acepta;Fecha Emisión;Fecha de Vencimiento;Periodo;Url;Estado del Documento en Compras;Monto Neto;Monto IVA;Monto Total
RA-5422;OC-MONTT3793;62340;1;15/06/2026;15/07/2026;143;https://windte2606.acepta.com/v01/A074E2250C38C6AB4467F9BDB04E5A11A3E603DF;1;3280500;623295;3903795
RA-6589;OC-MONTT4480;13126;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/A7C487E757AF2E1C30F1F0687FEBC701E18E7D56;1;280000;53200;333200
RA-5555;OC-MONTT3694;85605;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/80AD64F726EBEED18F22178944912235E2E476C9;1;96000;18240;114240
RA-6363;OC-MONTT4229;85895;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/BB22ECCE72A2B89D6582803D6DBAEE64B100AC1B;1;157640;29952;187592
RA-6287;OC-MONTT4358;247283;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/E5DC952DDC71E934E652E91A3CA2FE63B6478CC0;1;798296;151676;949972
RA-5506;OC-MONTT3996;50475;1;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/39AAB7DD6551A2C1CFA0049B5BC336DC6C9BDE36;1;170033;32306;202339
RA-5750;OC-MONTT4014;50476;1;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/1DD4E86D743105421DB1393D7284B467F9888FAB;1;1104298;209817;1314115
RA-5754;OC-MONTT4020;50477;1;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/67FE52D34557280E91CD12E1B026A845CB51921B;1;1123852;213532;1337384
RA-5758;OC-MONTT4033;50478;1;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/C9FB742F180136664E6E709C39B9A3BCF5E7E138;1;310000;58900;368900
RA-5857;OC-MONTT4183;50831;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/6E22FA9AB4AE81AD1236FB31FB26AD1E2BDDB23D;1;89320;16971;106291
RA-5856;OC-MONTT4182;50832;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/4B722F667605176FC4CDF8AD30F7FD4864F80C1D;1;89320;16971;106291
RA-6304;OC-MONTT4369;51092;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/7AE4310754EF135F20E6136B5E530420A022DCF1;1;1129803;214663;1344466
RA-6314;OC-MONTT4360;51093;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/02047DECEC10DCB2A02B150F0C48888BC5493EB3;1;1123852;213532;1337384
RA-6303;OC-MONTT4370;51094;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/0300F99B948CD828F0128CDDDAC254B3B5E594E6;1;1272306;241738;1514044
RA-6302;OC-MONTT4371;51095;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/7AF5C0FB2A22AC30B704EDAC7004EED0E0B3E718;1;981752;186533;1168285
RA-6286;OC-MONTT4357;51096;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/0C9581AA0DCDBE4F21461C5764A5E7C3DE7E05F4;1;344984;65547;410531
RA-6675;OC-MONTT4313;961209;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/14A911469BAAAABCF4385F89B20F0360FE9835D4;1;1771300;336547;2107847
RA-4451;OC-MONTT3351;961424;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/14A911469BAAAABCF4385F89B20F0360FE9835D4;1;1771300;336547;2107847
RA-4468;OC-MONTT3386;961425;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/678959C5C4286E64E0F0BB4E9DD62DEE933384AB;1;220590;41912;262502
RA-5087;OC-MONTT3749;961721;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/632C8FB8FF7AEA9E5A2CE389564F6CFE4FAC800E;1;220590;41912;262502
RA-4866;OC-MONTT3609;961766;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/2D4A19095D3E39F76E9F2493C9ABD289CDDB353C;1;220590;41912;262502
RA-5322;OC-MONTT3896;961767;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/EEA4AAEDCB099AC9A299ADA4FFD222BEDA29D73E;1;441180;83824;525004
RA-5858;OC-MONTT4184;961976;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/3AC6F620B85D33563C9860B0217D185F306A6518;1;441180;83824;525004
RA-5466;OC-MONTT3887;404457;1;15/06/2026;15/07/2026;143;https://windte2606.acepta.com/v01/3B291D911D798FC403F1E636B01E86D7A5D1C77C;1;5950800;1130652;7081452
RA-6447;OC-MONTT4423;420554;1;15/06/2026;15/07/2026;143;https://windte2606.acepta.com/v01/1DCF407B2B285A466A1D35A22EE4C4061EA305B2;1;1080000;205200;1285200
RA-6794;OC-MONTT4439;132094;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/AACDA9707F21041B777F3F9B373AC99AF877C333;1;274006;52061;326067
RA-5292;OC-MONTT3851;93151;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/8EA2F7F41FBCA9CA6D3BB0718CC194A51080A079;1;220000;41800;261800
RA-5295;OC-MONTT3854;93152;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/1117A3C496F71C2A5EF2D8EE4874AF96A419948A;1;85000;16150;101150
RA-5290;OC-MONTT3849;93153;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/42DEFE164FDBBEAC81D220348EEE9C7D0FF933A3;1;715000;135850;850850
RA-5479;OC-MONTT3817;93154;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/228D87ECED99D4E9FFD086503098BD0825BD6DA5;1;1288000;244720;1532720
RA-5480;OC-MONTT3883;93155;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/D8E6546EB2CFB6160C2256421928DE3A760DCDA4;1;308000;58520;266520
RA-6264;OC-MONTT4345;93478;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/5B5376B9261E270CBEBD40A5BA0CFE27F8DDEC6D;1;1333000;253270;1586270
RA-6267;OC-MONTT4348;93480;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/3D4759D86D6A0B4E01C2EC495477EE36283CC43D;1;85000;16150;101150
